task,AUC,ACC,SP,SE,MCC,f1_label1,f1_label0,precision_label1,precision_label0
ames,0.994±0.001,0.961±0.002,0.944±0.001,0.975±0.003,0.921±0.003,0.964±0.002,0.957±0.002,0.954±0.001,0.969±0.004
lm-human,0.993±0.001,0.949±0.003,0.928±0.003,0.984±0.002,0.897±0.005,0.937±0.003,0.958±0.002,0.893±0.005,0.99±0.001
herg-10um,0.974±0.002,0.898±0.006,0.834±0.01,0.96±0.002,0.802±0.011,0.906±0.005,0.889±0.007,0.857±0.008,0.953±0.003
lm-mouse,0.99±0.001,0.941±0.003,0.886±0.005,0.983±0.001,0.881±0.006,0.949±0.002,0.929±0.004,0.917±0.003,0.976±0.002
f50,0.994±0.001,0.959±0.004,0.937±0.006,0.975±0.003,0.916±0.009,0.965±0.004,0.951±0.005,0.955±0.004,0.965±0.004
pgp_inh,0.999±0.0,0.982±0.002,0.961±0.005,0.999±0.0,0.965±0.004,0.985±0.002,0.98±0.003,0.971±0.004,0.999±0.0
dili,1.0±0.0,0.998±0.0,1.0±0.0,0.996±0.001,0.996±0.001,0.998±0.001,0.998±0.0,1.0±0.0,0.997±0.001
oatp1b1,0.993±0.001,0.956±0.003,0.932±0.003,0.972±0.004,0.909±0.007,0.963±0.003,0.945±0.004,0.954±0.002,0.959±0.006
cyp3a4-inh,0.992±0.001,0.954±0.004,0.939±0.005,0.975±0.003,0.906±0.008,0.945±0.005,0.96±0.004,0.916±0.007,0.983±0.002
cyp2d6-sub,0.999±0.0,0.984±0.002,0.969±0.006,0.996±0.001,0.968±0.004,0.987±0.002,0.981±0.002,0.978±0.004,0.994±0.002
H-HT,0.983±0.002,0.919±0.006,0.858±0.022,0.964±0.009,0.835±0.013,0.931±0.005,0.9±0.008,0.901±0.014,0.947±0.01
Hepatotoxicity,0.978±0.003,0.918±0.006,0.923±0.007,0.912±0.005,0.832±0.012,0.903±0.007,0.929±0.005,0.894±0.009,0.936±0.004
cyp3a4-sub,0.999±0.0,0.987±0.003,0.974±0.005,0.998±0.0,0.973±0.005,0.988±0.002,0.986±0.003,0.977±0.004,0.998±0.001
aggregators,0.99±0.001,0.955±0.003,0.972±0.003,0.92±0.004,0.898±0.007,0.93±0.005,0.967±0.002,0.941±0.006,0.962±0.002
oatp1b3,0.997±0.001,0.973±0.004,0.949±0.006,0.982±0.003,0.934±0.009,0.981±0.003,0.953±0.006,0.979±0.003,0.957±0.007
pgp_sub,1.0±0.0,0.991±0.004,0.986±0.006,0.998±0.001,0.983±0.007,0.99±0.004,0.992±0.003,0.983±0.008,0.998±0.0
cyp2d6-inh,0.994±0.002,0.968±0.006,0.976±0.005,0.939±0.009,0.905±0.017,0.925±0.013,0.98±0.004,0.911±0.018,0.984±0.002
carcinogenicity,0.999±0.001,0.982±0.004,0.98±0.006,0.984±0.003,0.963±0.009,0.979±0.005,0.984±0.004,0.974±0.008,0.988±0.002
bbb,1.0±0.0,0.991±0.004,0.988±0.001,0.994±0.005,0.982±0.007,0.993±0.003,0.989±0.004,0.992±0.001,0.99±0.008
