task,AUC,ACC,SP,SE,MCC,f1_label1,f1_label0,precision_label1,precision_label0
ames,0.995±0.003,0.963±0.008,0.929±0.014,0.989±0.004,0.925±0.016,0.967±0.007,0.957±0.01,0.946±0.01,0.986±0.005
lm-human,0.996±0.002,0.959±0.006,0.938±0.005,0.993±0.006,0.917±0.012,0.948±0.007,0.966±0.005,0.907±0.008,0.996±0.004
herg-10um,0.982±0.006,0.924±0.013,0.881±0.024,0.964±0.002,0.849±0.023,0.929±0.01,0.918±0.016,0.897±0.017,0.958±0.004
lm-mouse,0.993±0.005,0.954±0.012,0.92±0.02,0.981±0.005,0.907±0.024,0.96±0.01,0.946±0.015,0.94±0.014,0.974±0.008
f50,0.995±0.009,0.97±0.02,0.956±0.034,0.981±0.008,0.939±0.04,0.973±0.017,0.966±0.025,0.965±0.024,0.976±0.012
pgp_inh,0.999±0.001,0.991±0.008,0.98±0.018,0.999±0.002,0.982±0.017,0.993±0.007,0.989±0.011,0.987±0.011,0.998±0.003
dili,1.0±0.0,0.999±0.004,0.999±0.006,1.0±0.003,0.999±0.009,0.999±0.004,0.999±0.004,0.999±0.006,1.0±0.003
herg,0.999±0.002,0.979±0.009,0.959±0.015,0.998±0.003,0.958±0.017,0.979±0.008,0.978±0.01,0.961±0.013,0.998±0.003
oatp1b1,0.994±0.01,0.964±0.019,0.945±0.038,0.978±0.004,0.927±0.037,0.969±0.015,0.957±0.025,0.96±0.025,0.97±0.007
cyp3a4-inh,0.995±0.004,0.962±0.012,0.942±0.017,0.991±0.005,0.925±0.022,0.956±0.013,0.967±0.011,0.923±0.019,0.994±0.004
cyp2d6-sub,0.999±0.004,0.988±0.015,0.982±0.017,0.994±0.014,0.977±0.031,0.989±0.015,0.988±0.016,0.984±0.015,0.994±0.016
cyp3a4-sub,0.999±0.004,0.994±0.016,0.987±0.032,0.999±0.002,0.988±0.031,0.994±0.015,0.993±0.018,0.989±0.026,0.999±0.003
aggregators,0.993±0.004,0.962±0.008,0.979±0.006,0.924±0.011,0.912±0.017,0.94±0.012,0.972±0.006,0.956±0.013,0.964±0.005
oatp1b3,0.996±0.009,0.976±0.022,0.947±0.043,0.989±0.013,0.943±0.053,0.983±0.016,0.96±0.038,0.977±0.018,0.973±0.031
pgp_sub,1.0±0.001,0.996±0.009,0.995±0.009,0.997±0.009,0.992±0.018,0.996±0.009,0.996±0.009,0.995±0.01,0.997±0.009
cyp2d6-inh,0.994±0.007,0.972±0.014,0.98±0.003,0.937±0.058,0.91±0.047,0.928±0.039,0.982±0.009,0.92±0.019,0.985±0.014
carcinogenicity,0.993±0.015,0.97±0.035,0.962±0.028,0.978±0.042,0.94±0.07,0.969±0.036,0.971±0.033,0.96±0.03,0.98±0.039
bbb,0.998±0.004,0.983±0.019,0.976±0.028,0.988±0.012,0.965±0.039,0.986±0.016,0.98±0.023,0.983±0.02,0.984±0.018
