task,r2,rmse,mae
logp,0.991±0.001,0.172±0.01,0.13±0.009
pka_acidic,0.99±0.002,0.331±0.033,0.228±0.03
cl-plasma,0.991±0.002,0.495±0.055,0.375±0.047
logs,0.984±0.002,0.275±0.015,0.192±0.015
logvdss,0.988±0.003,0.067±0.008,0.047±0.008
pka_basic,0.989±0.002,0.33±0.036,0.231±0.032
t12,0.986±0.002,0.212±0.017,0.137±0.014
logd,0.982±0.002,0.167±0.01,0.126±0.009
mdck,0.986±0.004,0.063±0.008,0.048±0.007
caco2,0.978±0.003,0.095±0.007,0.071±0.006
ppb,0.988±0.002,3.022±0.278,2.086±0.25
cl-int,0.969±0.004,0.126±0.007,0.092±0.007
